,pert,PCID,cell,type,trend,WTCS,WTCS_Pval,WTCS_FDR,NCS,NCSct,N_upset,N_downset,t_gn_sym,jlf_tau,FDA-approved,FRDA-CT,
155,BRD-K74733595,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.567758293,128,100,NA,0,,,
156,radicicol,5311380,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ACLY; DLAT; HSP90AB1; HSP90B1; MAP3K7; OPRM1; PDK3,0,,,
157,BIBU-1361,46861539,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EGFR,0,,,
158,carbacyclin,5311242,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PPARD; PTGDR; PTGER1; PTGER2; PTGER3; PTGER4; PTGFR; PTGIR; TBXA2R,0,,,
159,BIBR-1532,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
160,prostaglandin,13292831,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.606131498,128,100,AKR1C3; PTGDR; PTGDR2; PTGER1; PTGER2; PTGER4; PTGFR,0,,,
161,BRD-K83354763,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
162,tetrahydrobiopterin,53484654,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CAV1; DBH; DDC; DNM2; LYPLA1; NOS3; NOSIP; NOSTRIN; PAH; PCBD1; PRKG2; PTS; QDPR; SPR; TAT; TH; TPH1; TPH2; WASL; ZDHHC21,0,,,
163,heliomycin,5282060,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
164,calmidazolium,2531,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ATP2B1; PDE1A,0,,,
165,HMN-214,9888590,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PLK1,0,,,
166,terreic-acid,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BTK,0,,,
167,fluticasone,44483336,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CYP3A5; CYP3A7; NR3C1; NR3C2; PGR; PLA2G4A,0,,,
168,BRD-K18135438,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.527889041,128,100,NA,0,,,
169,PD-184352,6918454,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,MAP2K1; MAP2K2; MAP3K1; MAP3K2,0,,,
170,sphingosine,5280335,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ACER1; ACER2; ASAH1; ASAH2; ASAH2C; CERS1; CERS2; CERS3; CERS4; CERS5; CERS6; GALC; GBA; GLTP; LPIN1; LPIN2; LPIN3; PPAP2A; PPAP2B; PPAP2C; PSAP; PVR; SGPP1; SGPP2; SMPD1; SPHK1; SPHK2; TRPM3,0,,,
171,CGP-57380,11644425,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.97568952,128,100,AURKB; LCK; MKNK1; MKNK2; SGK1,0,,,
172,EI-231,6610267,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CSNK2A1; CSNK2A2; CSNK2B,0,,,
173,JNJ-7706621,5330790,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AURKA; AURKB; AURKC; CDK1; CDK2; CDK4; CDK5; CDK6; CDK9; GSK3A; LIMK1; MAP3K2; MAP3K3; MAP3K9; NUAK1; ROCK2; RPS6KA6; SLK; STK10; STK4; TAOK1; TAOK2; TYK2,0,,,
174,bisindolylmaleimide-ix,5083,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; GSK3B; LCK; LRRK2; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SIRT1; SIRT2,0,,,
175,everolimus,6442177,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CYP3A5; FKBP1A; MTOR,0,,,
176,PHA-665752,10461815,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BMP2K; CAMKK1; CAMKK2; DDR1; GRK7; HIPK1; HIPK3; MAP3K19; MAP4K5; MET; SRPK1; TAOK3,0,,,
177,oxalomalic-acid,439620,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ACO1; IDH1,0,,,
178,BRD-K93023739,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
179,linezolid,441401,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,MAOA,0,,,
180,H-8,3540,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PKIA; PRKACA,0,,,
181,BRD-K79437791,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
182,clofibric-acid,2797,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.293317185,128,100,PPARA,0,,,
183,elvitegravir,5277135,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
184,WYE-354,44219749,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.845241858,128,100,MTOR,0,,,
185,rifabutin,5482874,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BCL6; CYP3A4; HSP90AA1; HSP90B1,0,,,
186,GW-583340,5329480,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EGFR; ERBB2,0,,,
187,NVP-TAE684,16038120,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.103719371,128,100,ACVR1; ACVRL1; ADCK4; ALK; AURKC; AXL; BMPR1B; BTK; CAMK4; CAMKK1; CAMKK2; CHEK2; CLK1; CLK2; DCLK1; DCLK2; DCLK3; DSTYK; EPHA1; FER; FES; GAK; INSR; INSRR; IRAK1; IRAK4; ITK; LRRK2; LTK; MAP3K12; MAP3K13; MAP4K3; MAPK10; MAPK7; MARK1; MARK2; MARK3; MARK4; MERTK; MKNK2; MYO3A; MYO3B; NUAK1; NUAK2; OXSR1; PAK3; PHKG1; PHKG2; PLK1; PLK4; PRKAA1; PRKAA2; PRKD1; PRKD3; PTK2; PTK2B; PTK6; ROCK1; ROS1; RPS6KA2; RPS6KA3; RPS6KA6; SBK1; SBK3; SIK1; SIK2; SLK; STK10; STK32A; STK32B; STK32C; STK33; TAOK1; TAOK3; TEK; TIE1; TNK1; TNK2; TSSK1B; TTK; TYK2; ULK1; ULK2; ULK3; YES1,0,,,
188,dovitinib,9886808,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABL2; ANKK1; BLK; BMP2K; BTK; CSF1R; EGFR; FGFR2; FGFR3; FGR; FLT1; FLT3; FLT4; FYN; HCK; INSR; IRAK4; KDR; KIT; LRRK2; MAP2K5; MAP3K11; MAP3K19; MAP3K2; MAP3K7; MAP4K1; MAP4K4; MAP4K5; MARK4; MAST1; MELK; MINK1; MYLK2; MYLK3; MYLK4; NR1I2; NTRK1; NTRK2; NTRK3; NUAK1; PDGFRA; PDGFRB; PHKG1; PKN1; RET; RPS6KA1; RPS6KA2; RPS6KA6; SIK2; STK4; TNIK; TYK2; TYRO3; ULK1; ULK2; YES1,0,,,
189,hyperforin,51348735,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.61936051,128,100,ALOX5; NR1I2; TRPC6,0,,,
190,elesclomol,300471,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,TOP2A,0,,,
191,AZD-6482,44137675,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PIK3CA; PIK3CB; PIK3CD; PIK3CG,0,,,
192,midostaurin,9829523,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AAK1; AURKC; BCR; BRSK1; BRSK2; CAMK2A; CAMK2D; CAMKK1; CAMKK2; CCNB1; CLK4; CUX1; EIF2AK4; FER; FGFR1OP; FGFR1OP2; FGR; FLT1; FLT3; FLT4; GRK1; GRK7; GSK3A; HCK; IKBKE; KDR; KIT; LIMK1; LRRK2; MAP3K10; MAP3K11; MAP3K19; MAP3K2; MAP3K3; MAP3K7; MAP3K9; MAP4K2; MAP4K4; MAP4K5; MARK1; MARK2; MARK3; MARK4; MELK; MINK1; MST4; MYLK; NTRK1; NTRK2; NTRK3; NUAK1; NUAK2; PDGFRA; PDGFRB; PHKG1; PKN1; PKN2; PLK4; PRKCA; PRKCB; PRKCE; PRKCG; PRKCH; PRKG1; PRKG2; PRPF4B; RET; ROS1; RPS6KA1; RPS6KA2; RPS6KA3; RPS6KA4; RPS6KA5; RPS6KA6; RPS6KB1; SIK2; SLK; SRPK1; SRPK3; STK10; STK3; STK4; TBK1; TNK1; TNK2; TSSK1B; TYK2; VEGFA; YES1; ZMYM2,0,,,
193,EI-273,3568,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PRKCA; PRKCG,0,,,
194,canertinib,156414,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; EGF; EGFR; ERBB2; ERBB4,0,,,
195,flupirtine,25162978,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,KCNQ1; KCNQ2; KCNQ3,0,,,
196,JLK-6,3803,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.975268737,128,100,PSEN1,0,,,
197,danusertib,11442891,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AURKA; AURKB; AURKC; BCR; NTRK1; RET; SLK,0,,,
198,orciprenaline,9861452,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADRB2,0,,,
199,verrucarin-a,104830,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
200,NCH-51,11395181,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-1.19257499,128,100,HDAC1; HDAC10; HDAC11; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9,0,,,
201,dexketoprofen,667550,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CXCR1; SLC5A8,0,,,
202,F-1566-0341,5056826,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,1.031427121,128,100,NA,0,,,
203,U-0126,3006531,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; CHEK1; GSK3B; JAK2; LCK; MAP2K1; MAP2K2; MAP2K7; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; RAF1; ROCK1; RPS6KB1; SGK1,0,,,
204,KU-0063794,16736978,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-1.161872238,128,100,MTOR,0,,,
205,irinotecan,60838,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.901394903,128,100,ABCB1; ABCC2; ABCG2; CES2; CES5A; CYP3A5; TOP1; TOP1MT,0,,,
206,cilomilast,151170,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,IL12A; IL12B; IL1B; PDE4A; PDE4B; PDE4C; PDE4D; TNF,0,,,
207,epoxycholesterol,3247059,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.40330116,128,100,NR1H2; NR1H3,0,,,
208,CGP-52411,1697,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
209,reversine,210332,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.604899941,128,100,ADORA3; AURKA; AURKB; INCENP; MAP2K1,0,,,
210,gemcitabine,60749,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CMPK1; DCK; DCTD; RRM1; RRM2; SLC29A1; TK2; TYMS,0,,,
211,SB-525334,9967941,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,TGFBR1,0,,,
212,gemfibrozil,3463,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.820281031,128,100,APOA1; APOA2; APOB; APOE; CETP; CYP2C8; CYP2C9; LIPC; LPL; PPARA; SERPINE1; SLCO1B1; SLCO1B3; SLCO2B1,0,,,
213,SQ-22536,5270,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADCY1; ADCY5,0,,,
214,cyclazosin,2894,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADRA1A; ADRA1B; ADRA1D,0,,,
215,GDC-0879,11717001,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BRAF; RAF1,0,,,
216,troglitazone,5591,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABCB11; ACSL4; AKR1B1; CCL2; CCND1; CD36; CYP3A4; ESRRA; ESRRG; FABP4; IL8; INS; IRS1; JUN; LEP; LPL; MAPK3; PPARA; PPARD; PPARG; PPARGC1A; SERPINE1; SLC29A1; SLC2A1; SLC2A4; TNF; TRPM3; UCP2,0,,,
217,kenpaullone,3820,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CCNB1; CDK1; CDK2; CDK5; CDK9; GSK3A; GSK3B; LCK; MAP4K2; MAP4K4; MAP4K5; MINK1; NUAK1,0,,,
218,veliparib,11960528,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.735020583,128,100,PARP1; PARP2,0,,,
219,saracatinib,10302451,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABL1; ABL2; LCK; SRC; YES1,0,,,
220,AS-604850,5287855,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PIK3CA; PIK3CG,0,,,
221,afatinib,22225683,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EGF; EGFR; ERBB2; ERBB4; GAK,0,,,
222,enzalutamide,15951529,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AR,0,,,
223,epothilone,448013,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,TUBA1A; TUBA1B; TUBA1C; TUBA3C; TUBA4A; TUBA8; TUBB; TUBB1; TUBB3; TUBB4A; TUBB4B,0,,,
224,mocetinostat,9865515,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,HDAC1; HDAC11; HDAC2; HDAC3,0,,,
225,tianeptine,68870,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.329114608,128,100,DRD3; GRIA1; OPRM1; SLC6A4,0,,,
226,BAY-11-7082,5353431,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
227,zibotentan,9910224,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EDNRA,0,,,
228,retinyl,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.655282859,128,100,NA,0,,,
229,SU-11652,5329103,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CAMK1G; FGF2; FLT1; KDR; KIT; PDGFRA; PDGFRB,0,,,
230,ziprasidone,60854,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADRA1A; ADRA1B; ADRA2B; ADRA2C; CHRM1; CHRM4; CHRM5; DRD1; DRD3; DRD4; HRH1; HTR1B; HTR1D; HTR1E; HTR3A; HTR6; HTR7; SLC6A4,0,,,
231,SB-216763,176158,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CDK2; GSK3A; GSK3B,0,,,
232,razoxane,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.707893538,128,100,TOP2A; TOP2B,0,,,
233,rolipram,5092,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PDE4A; PDE4B; PDE4C; PDE4D; PDE5A,0,,,
234,AM-580,2126,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,RARA,0,,,
235,HC-toxin,3571,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,HDAC1,0,,,
236,obatoclax,11404337,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BCL2; BCL2L1; MCL1,0,,,
237,F-1061-0166,3646984,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.512827761,128,100,NA,0,,,
238,5-iodotubercidin,1830,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADK; CSNK1G2; DOT1L; GSG2; HASPIN; LRRK2; MAPK3,0,,,
239,progesterone,5994,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKR1C1; AKR1C2; AKR1D1; APOD; AR; CATSPER1; CATSPER2; CATSPER3; CATSPER4; CATSPERB; CATSPERD; CATSPERG; CGA; CYP11B1; CYP17A1; CYP21A2; ESR1; GNAI1; GNAS; GNGT1; HRAS; HSD3B1; HSD3B2; HVCN1; KCNU1; LHB; NR1I2; NR3C1; NR3C2; OPRK1; ORM1; PAQR5; PGR; SERPINA6; SHBG; SRD5A1; SRD5A3; TRPC5,0,,,
240,CAY-10470,35026803,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NFKB1; TNF,0,,,
241,wortmannin,312145,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ATM; ATR; MTOR; MYLK; PI4KA; PI4KB; PIK3C2B; PIK3C3; PIK3CA; PIK3CD; PIK3CG; PIK3R1; PIK3R4; PLK1; PLK2; PLK3; PRKDC,0,,,
242,D-609,45479729,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
243,BRD-A36707673,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.572073077,128,100,NA,0,,,
244,ochratoxin-a,442530,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.507401554,128,100,SLC22A6,0,,,
245,vinorelbine,73707409,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,TUBB,0,,,
246,BRD-A57107094,2864482,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
247,BRD-A77577770,363417,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
248,iloprost,5311181,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADCY10; EDN1; GNAS; PDE4A; PDE4B; PDE4C; PDE4D; PF4; PLAT; PPBP; PTGDR; PTGDR2; PTGER1; PTGER2; PTGER3; PTGER4; PTGFR; PTGIR; TBXA2R,0,,,
249,BL-050,151819,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.507349846,128,100,NA,0,,,
250,acitretin,5284513,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.576716721,128,100,CRABP1; RARA; RARB; RARG; RBP1; RXRA; RXRB; RXRG; STAT3,0,,,
251,eicosatetraynoic-acid,1780,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ALOX12; PPARA; PPARG,0,,,
252,K-858,2930014,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
253,GR-235,6450278,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,1.0473559,128,100,ESR1; IKBKB; NR1H4; NR1I2; PGR,0,,,
254,pyrazolanthrone,8515,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,LRRK2; MAPK10; MAPK8; MAPK8IP1; MAPK9; TTK,0,,,
255,hypericin,3663,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,GSTA1,0,,,
256,BRD-K68336408,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
257,WZ-3146,44607360,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EGFR,0,,,
258,tyrphostin-47,5485187,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,EGFR,0,,,
259,BCI-hydrochloride,5475586,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.027507321,128,100,DUSP1; DUSP6,0,,,
260,SB-202190,5353940,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; ALOX5; CHEK1; GSK3B; LCK; MAPK11; MAPK12; MAPK14; MAPK8; PRKCA; ROCK1; RPS6KB1; SGK1,0,,,
261,pirarubicin,11296583,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABCB1; TOP2A,0,,,
262,AG-879,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.597245502,128,100,ERBB2; KDR; NTRK1,0,,,
263,LFM-A13,9906875,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BTK,0,,,
264,warfarin,54678486,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.038703568,128,100,ARSE; CYP2C8; CYP2C9; CYP4F2; F3; F7; NR1I2; PROS1; RP11-196G11.1; VKORC1; VKORC1L1,0,,,
265,BIBX-1382,6918508,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.775215193,128,100,EGFR; ERBB2,0,,,
266,calcitriol,21158442,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CDA; CYP24A1; CYP27B1; CYP3A5; GC; HOXA10; VDR,0,,,
267,alvocidib,5287969,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,BCL2; BIRC5; CCNT1; CDK1; CDK2; CDK4; CDK5; CDK6; CDK7; CDK8; CDK9; EGFR; MCL1; PYGB; PYGL; PYGM,0,,,
268,oleoylethanolamide,5283454,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CNR1; GPR119; GPR55; KCND3; PPARA,0,,,
269,ENMD-2076,16041424,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AURKA; CSF1R; EPHA1; FGFR2; FGFR3; FLT3; FLT4; KDR; KIT; PDGFRA; PTK2; SRC,0,,,
270,geldanamycin,3460,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,HSP90AA1; HSP90AB1; HSP90B1,0,,,
271,glycocholic-acid,10140,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,FABP6,0,,,
272,AT-9283,11696609,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABL1; AURKA; AURKB; BCR; FLT3; JAK2; RPS6KA6; STK17A,0,,,
273,BRD-K67808578,768699,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
274,lavendustin-a,3894,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.286401295,128,100,EGFR; LCK,0,,,
275,fexofenadine,3348,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABCB1; ABCG2; HRH1; SLCO1A2,0,,,
276,AZ-10417808,135665263,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CASP3,0,,,
277,H-9,24113957,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,PRKACA,0,,,
278,SNS-314,24995524,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AURKA; AURKB; AURKC,0,,,
279,BRD-K49657628,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.566215988,128,100,NA,0,,,
280,mosapride,119584,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,HTR3A; HTR4,0,,,
281,PD-173074,1401,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,FGFR2; FGFR3; FGFR4; FLT1; FLT4; KDR; PDGFRA; PDGFRB,0,,,
282,topotecan,5515,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABCB1; ABCG2; TOP1; TOP1MT,0,,,
283,etodolac,73707528,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,RXRA; TRPV1,0,,,
284,moxifloxacin,101526,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,TOP2A; TOP2B,0,,,
285,mirin,1206243,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.957402969,128,100,MRE11A,0,,,
286,BRD-K08115555,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
287,isotretinoin,5282379,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CYP2B6; CYP2C8; CYP3A5; CYP3A7; NR2C2; PPARD; RARA; RARB; RARG; RORB; RORC,0,,,
288,enzastaurin,176167,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; AURKA; AURKB; CDK15; CHEK1; CHEK2; GSK3B; PIK3R1; PRKCA; PRKCB; PRKCG,0,,,
289,SU-1498,5941539,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.284326593,128,100,ERBB2; KDR,0,,,
290,BRD-K67506692,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
291,nobiletin,72344,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.30462614,128,100,ABCB1; MAP2K1; TYR,0,,,
292,apigenin,5280443,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKR1B1; AR; CDK6; CFTR; CYP19A1; CYP1A2; CYP1B1; HSD17B1; MAOA; ODC1; TNKS2,0,,,
293,retinol,9904001,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ALDH1A1; ALDH1A2; ALDH1A3; DHRS3; DHRS4; LRAT; NR2C2; RBP1; RBP3; RDH11; RDH12; RDH13; RDH14; RDH5; RDH8; RETSAT; RHO; RLBP1; RXRA; RXRB; RXRG,0,,,
294,BRD-K26373640,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-1.001206384,128,100,NA,0,,,
295,capsaicin,1548942,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,CFTR; ENOX2; FOS; NTRK1; PHB2; TRPV1,0,,,
296,zosuquidar,3036703,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-0.10616743,128,100,ABCB1; ABCB4,0,,,
297,R-59022,3012,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0.260414521,128,100,DGKA,0,,,
298,dacinostat,6445533,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,HDAC1; HDAC2; HDAC3; HDAC4; HDAC5; HDAC6; HDAC7; HDAC8; HDAC9,0,,,
299,barasertib-HQPA,16007391,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
300,SB-431542,4521392,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ACVR1B; ACVR1C; TGFBR1,0,,,
301,GW-0742,9934458,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,INS; PPARD,0,,,
302,KN-62,3838,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,AKT1; CAMK2A; CHEK1; LCK; MAPK11; MAPK12; MAPK14; MAPK8; P2RX7; PRKCA; ROCK1; RPS6KB1; SGK1,0,,,
303,BRD-K41170226,NA,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
304,axitinib,6450551,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ABL2; AURKC; CSF1; CYP3A5; FLT1; FLT4; KDR; KIT; PDGFRA; PDGFRB; PLK4,0,,,
305,withaferin-a,73707417,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ACHE; BCHE; IKBKB,0,,,
306,iloperidone,71360,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,ADRA1A; ADRA2C; DRD1; DRD3; DRD4; HRH1; HTR6; HTR7,0,,,
307,deforolimus,57495783,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,-1.098865577,128,100,MTOR,0,,,
308,BIIB-021,16736529,1HAE,trt_cp,down,0,0.314451409,0.314451409,0,0,128,100,NA,0,,,
